project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,f01f5b966f0c12b575182efcd59da8463ed8a81d_83930f72beac8eab9e52ae61cbd8046c96d66135,4,4,2,2
commons-lang,6a8400efd4b447c18bef19bcf406f63460a3b874_83930f72beac8eab9e52ae61cbd8046c96d66135,2,3,2,0
commons-lang,6a8400efd4b447c18bef19bcf406f63460a3b874_80b1cc0e4f08533603c1b073ba7b762fded66351,3,4,2,1
commons-lang,6a8400efd4b447c18bef19bcf406f63460a3b874_eece566693ca380bf82311a04398b06cc1b492df,4,4,0,1
commons-lang,80b1cc0e4f08533603c1b073ba7b762fded66351_eece566693ca380bf82311a04398b06cc1b492df,2,2,0,0
commons-lang,80b1cc0e4f08533603c1b073ba7b762fded66351_5b3e072432b63163c3fac51dea7c72d2230e51fe,3,3,1,0
commons-lang,80b1cc0e4f08533603c1b073ba7b762fded66351_3132913f5bd776ab09af3dc64107e6b10f09862b,4,5,2,0
commons-lang,5b3e072432b63163c3fac51dea7c72d2230e51fe_3132913f5bd776ab09af3dc64107e6b10f09862b,2,3,2,0
commons-lang,5b3e072432b63163c3fac51dea7c72d2230e51fe_514f9665295ca33bf2207d67143ec0a125a63a71,3,16,13,0
commons-lang,d6e2252bdd0f65afca000c900f149f38688a3ba5_76912e0d8aed581ee4bc6b8635d0512ac2695f5d,2,1,1,1
commons-lang,f8e04fb7055895fdea9f85904bc7a8f7bda9ea7f_bcdb10875b25eefb3886eefe5ecda5371a2a5dca,2,4,4,1
commons-lang,becb4823d32ec71c2e828932c2f76e938bec0078_7b86e4e054ab4507709795b6f63410ff03aeac92,2,13,11,0
commons-lang,9d1f7fdf2afe3c548f698615d736473ca8eb2745_26c3d50c8d11a1ebeede2cd8a9d618abc13b2b19,2,6,5,0
commons-lang,9d1f7fdf2afe3c548f698615d736473ca8eb2745_0ce1a4db98e3ea909f52cf3408f579758b0216a5,3,6,2,2
commons-lang,4997fb167898daf8a05790e0947854e6d75b1126_67ebecaa0cab98b514e8f880c99168df58418945,2,1,0,0
commons-lang,4997fb167898daf8a05790e0947854e6d75b1126_eccfbc4c4ba1539e415509096acd2a9d9255a8f3,3,2,1,0
commons-lang,c96ae569bbe0167cfa15caa7f784fdb2e1ecdc12_5348a0102ed26c781f3edb4eef60f9451ddae678,2,0,0,0
commons-lang,658d3b1b55723db01a7ef334c2110eabb324aee3_acd5a5a901413b43aa76ce3b7f7843cb84ec8f1b,2,3,3,0
commons-lang,658d3b1b55723db01a7ef334c2110eabb324aee3_e90519f3d7f19727f7f6c22e8e53f217962000f6,3,11,8,0
